corp_code,rcept_no,2024_total_assets,2023_total_assets,2022_total_assets
00600013,,,,
00435297,,,,
00173944,20250313001154,276510432217,240301076155,227053375662
00109286,20250318001356,2132627316122,1956376110942,1713773205581
00129350,20250313000953,328114248167,308031065017,287453832625
00144252,20250320001552,305473764776,382846276957,376111723330
00303217,20250321000814,329391197188,318384839252,285245048447
01036446,20250331003613,2953841527430,2357850900807,1930332276171
00112970,20250313001407,185398515032,180718514592,210639557874
00129554,20250320001142,69828890819,90043246014,57863011528
00163691,20250321001882,478715425251,514472137701,524926064872
00260392,20250313000035,226992976377,234871662225,245958532474
00153524,20250327000507,711994053000,715955958000,651217775000
00105156,20250320001025,478555021568,430015236625,353076046774
00146649,20250328001256,1967342079451,1664779334525,1586114519184
00148443,20250317000710,890432937697,879996990707,865677012176
00148939,20250320000832,618763750169,504500385670,442034875881
01234297,20250312000902,512101745784,461187881064,475733780981
00166272,20250321001555,1288499141437,1154543398411,1177218098360
00143794,20250321000993,185004142765,174969478824,169931826485
00860730,20250314000900,82884263423,82285456068,89680360097
00145260,20250317000659,655469570993,678951066652,653136152620
00118965,20250319001022,454354334361,402977300428,371353957512
00687711,20250320001288,899069317215,972464324884,948549497436
01394377,20241121000504,520480441607,579101258437,560953885769
00118008,20240619000177,478904741185,487867520934,456870590279
00132354,20250317000970,1369865450719,1248108717577,1149528707692
00159254,20250319001004,517879873727,503113632386,469100261248
00168401,20241219000451,282769620563,296341107251,307313894364
00648721,20250220001320,516608191578,423163460482,429772701838
00136341,20240919000331,1162642752327,1068743768230,1022207108798
01532603,20250321001314,469867845903,430773739630,422569200239
00107224,20250320001238,404717544888,432707600573,401195143871
01415892,20250321001699,2146506925558,2124785872377,2056286188750
00111458,20250320001314,225080501521,221137778791,247356883299
00218575,20250318001129,522556270523,513527276106,481912631966
00134316,20250808000388,725562845976,674081857072,628831844307
00103042,20250313001313,762617949986,662097622202,630078626843
00120872,20250805000299,204811085193,256575339407,258305672651
01267684,20250331004301,1381577133923,1138110386834,1016960290726
00104698,20250325000971,9601505118160,1309219122467,1300442455061
00122348,20241219000406,231627131187,243460571984,265220043723
00135777,20250320001290,875922548735,876212192768,884529889834
00127200,20250320001464,557296058316,544042879787,543607709814
00147222,20250320000970,231974001581,236979137636,304781348634
00145464,20250320000112,329008589068,313891617603,337212432145
00109161,20250318000825,184309192873,182882306558,167391898805
00101628,20250320001362,1214347475924,1206860950940,1248318313535
00823429,20250320001323,57902458105,48624288729,43913329550
00174004,20250317000557,437508359877,439604034118,427046002236
00123107,20250321000822,59282151485,57928435922,60912251547
00220561,20250313000495,1228084126118,934472863572,913454051041
00165343,20250804000178,262939817516,253960586979,240522145627
00159218,20250514000974,1690214811558,1597333550834,1562022195345
00101220,20250320001653,8160948249649,7818802674413,7076647392734
00152686,20250320001351,1255382149192,1236457010706,1293448547101
00162993,20250318001319,3709018734699,3559790251287,3268041346024
00124027,20250320000250,335401253997,278200798954,134678926321
00145686,20250320000337,269760591981,265952518844,268217246459
00332927,20250317000998,1830513946593,828362721870,533768141172
00398792,20250220001279,1241825709210,1211181269340,1225486689781
00148920,20250811000086,391890614962,382807997446,386108212060
01437292,20250220001436,302492164214,304265746997,292039569276
00136864,20250328001269,628902089244,545009762942,510124893723
00137809,20250318000112,81970747264,84766158128,88291972478
00136457,20250320000777,110375913378,120793105133,124160292131
00118345,20250331004012,1013743449745,975653234729,997884899051
00121288,20250321000631,199293931372,195918816223,218432623722
00146269,20250319000250,1115758897982,1059230389580,1176745986062
00130091,20250314000972,479780920010,474583602862,465919907060
00138729,20250312000916,1026484518181,1048177764841,1034948261694
00172936,20250328001290,482005377173,476136021763,499402713211
00151395,20250320001184,53502532108,54742622180,54845658330
00153126,20250320000950,1180815137965,1155786931774,1153770087447
00653024,20250318000022,1227138208863,952331547674,757789019510
00203582,20250311000946,290379147343,312095401371,319496520639
00165583,20250320001564,14539774932856,4597407646185,4339655185507
00860332,20250328001697,115578247112858,102235842680189,88977399369676
00159023,20250317000684,30515255000000,30119227000000,31308232000000
01562589,20250321001172,1905018000000,1698527000000,1635041000000
00138297,20250320001714,576408000000,578680000000,741784000000
00159795,20250319000937,878968656770,792428141673,585333635410
00118521,20250318000646,151334407812,151007705312,222866686597
00105952,20250326000601,20527939000000,18245954000000,17257356000000
00160621,20250320001367,109277355532,89173514797,82665926104
00539274,20250319001086,4418554230618,4159485425647,4015327448810
01180118,20250212000399,511512336502,511857698897,512895889358
01244601,20250313001156,4414712217433,3966486618370,3331422320817
00150244,20250320000493,3441538598928,3358347205530,3333438311387
00108977,20250321000349,432188136396,467423344729,470347262546
00148522,20250312000567,350454400155,265075748454,211309947551
00134963,20250311000263,1180193000000,1089744000000,1217311000000
01133217,20250411001905,62805282000000,54488157000000,39516079000000
00129387,20250312000816,619315087530,590613614037,587186274133
00148948,20250317000781,119924769170,118588764533,130041760125
00124151,20250521000343,226336878948,232856662011,233931779498
00157070,20250320000091,1564250855000,1425051765000,1289776454000
01032486,20250318001351,8169804000,8043861000,7297709000
01535150,20250312001045,4433542205994,4232565579262,4422943409055
00117577,20250318000980,5933196336149,5138300057884,5102168431194
00113508,20250313001148,1214838948245,1188823571530,1171989377978
00153755,20250317000712,528140837268,499119799811,490987940831
00132804,20250312000954,1366487636273,1310199052559,1187583002030
01437186,20250218000559,2525183126010,2473297506408,2343918337381
00143262,20250711000031,91715586046,113497686732,111631385016
00160861,20250320000501,232946140726,237369526405,225415182824
00114093,20250317000503,136247328127,126819096992,125172358791
00415628,20250318000960,620877554527,544018916698,551849173753
00990165,20250320001240,2195403207000,2120387916000,2040009732000
00165680,20250515002269,3813885971903,3006538770202,2938544987435
00684714,20250313001378,4096582596724,3660628679317,3395297191796
00126371,20250311001190,12792402920884,11657871601848,10997170898641
00148993,20250320000510,4077443964617,3979751148746,3945000964667
00565154,20250318001237,2714582224859,2560209103473,2290142554591
00593032,20250318000532,2914966723645,2755627761730,2584040376470
00133511,20250318000626,308253370839,303534566762,303815670161
00414601,20250320001187,482351415057,454404380777,610723418178
00416654,20250328001604,71306113634,62948969391,61023631583
01208885,20250318000876,947683277099,951329118368,1067615033035
00102140,20250312000686,80869826412,75127255780,68385030301
00143527,20250320001376,616320126682,606915246461,586813597619
00154055,20250320001049,53539770506,37386713995,34948504183
00144164,20250312000964,7539621970135,6081811411173,5831776891571
00159564,20250319000402,41498366351,44186932873,48045222224
00112165,20250321001173,715046567485,684084841557,648233574145
01316227,20250312000116,4724182664945,4070471419196,4319879312472
00222532,20250306000713,1243517604881,1319446205693,1428013437283
01478712,20250319000892,1088723750887,1127535530258,1191756988159
00143314,20250321001897,93502192138,95035399315,106799190000
00138701,20250312000788,3334279155000,3272086007000,3182375948000
00112022,20250320001317,152521491003,138374975185,130913447074
00302926,20250321001612,5285394740000,5241484775000,4823869784000
00105299,20250319000431,1161899245538,1130467709471,1094801795415
00110893,20250313001301,26396108665000,22643488792000,21210735463000
01316236,20250312001129,3272029757634,3115610852602,3131118899043
00159102,20250331003403,66506135383633,60040428590956,57635178300728
00122898,20250321001224,640284164647,620426943865,601820033901
00939331,20250318001173,3126693019808,3009429377714,2933309479342
00231372,20250320001631,2166617248668,1764111056273,1802776594203
00129271,20250313000817,173158472097,139238488628,139115269782
00164812,20250324000696,2062309184431,2059712572964,1831301801553
00172291,20250317001028,1037613249183,936627620863,888860403342
00300548,20250318001257,858386415696,899461324426,854159330447
00188089,20250314000941,1746167657721,1724265473784,1684715498594
00106368,20250317000810,8340238952259,7979694633685,7717403072460
00149026,20250321001425,412586797943,383909710687,364121570785
00123781,20250320000887,153106976657,156095854681,153622003905
00454946,20250318000396,204790661517,201377924078,196645335068
00261285,20250321001912,57669637000000,57254666000000,62424983000000
00131692,20250320000847,1017698965497,993737055884,926418535898
00122737,20250318000777,10271506000000,7853946000000,7548942000000
00107677,20250321001351,257400328225,191082593771,201061180940
00110608,20250227006937,363394228331,343481015258,364710386862
01059605,20250312001039,353395292441,336728433730,327522399303
00163345,20250320000879,870058289785,879384841947,414317384772
00161709,20250328002094,643928604574,597603859832,544804538072
00622787,20250318001275,1697157256602,1592842324191,1757001765786
00136402,20250318001436,254881524377,242937272679,242350721393
00133335,20250317000553,719893318041,769067174916,820314254965
00369833,20250319000740,138270697101,187088686775,204164784861
00131054,20250318000789,9646708149349,8699332043240,8076408298781
00151368,20250317000861,470981724710,428501449457,433167237634
00159698,20250327000192,8362237776886,7968409129278,7478129879658
00128555,20250313000950,4518198223654,4432766185103,5021952466150
00112679,20250320000634,372341113498,334751849114,338228490208
00160205,20250318000918,307361942953,333192248433,325998841087
00129280,20250313000955,70192709528,73014231901,68742292985
00225159,20250220001567,2832564017795,2701797834311,2558426986621
00260383,20250306000568,2219743050345,2196492714337,2195832515923
00106395,20250318000723,33341564828,52905126549,62193732605
00104999,20250327001289,294579163963,302851731273,270394721804
00121543,20250324000610,680447311689,639327517358,605739795014
00145109,20250312001137,2942048836634,2812305590753,2472728072149
00132628,20250320000385,75426856694,60912720397,57241315662
00413523,20250313001417,470883954867,398871055382,373059659521
00142883,20250318000772,433752930051,380460470089,282515715608
00980122,20250319000926,66721914000000,63403970000000,59828165000000
00118275,20250313001050,319610580416,280589482061,274585823020
00115384,20250313000657,238666824251,224384203562,216528029378
00404701,20250318001253,1725879725519,1480050024356,1363794175394
00500254,20250318001410,35063398000000,34448425000000,33922242000000
00113359,20250313000901,15898332583027,15593363016079,13417260497201
00148461,20250317000206,116092096071,106615084744,104117875897
01391033,20250214002376,112623172402,106456041628,110564160617
00177199,20250718000228,293570010254,277642743004,306956322608
00161976,20250318001443,2825659862512,2152345946852,2036963741120
00166315,20250317000376,1321669869758,1196813984369,1004620994499
00117629,20250317000788,192335715993,208762933559,183082959042
00435312,20250312001033,267487698093,270448865007,292456090103
00555874,20250318001006,1998506193261,1980894333656,1644674848545
00120021,20250318001070,31639273000000,30253085000000,29633677000000
00432102,20250320000910,109220199166181,95901185591112,86308574156762
00113526,20250318001334,47012065940089,30391776029656,28997701022484
00115065,20250311000605,96866644254,97568839749,92085226130
00170558,20250321001734,5761561091079,4850965736396,4365074875331
00269940,20250320001129,668789503298,644596377665,455429440460
00129989,20250314000812,784541943950,672673343828,451321116581
00356361,20250731000339,93857762000000,77466694000000,67973823000000
01576102,20241213000520,361337561141,369857871994,352325224080
00106641,20250313001390,92755874000000,80627826000000,73710965000000
00152880,20250324000768,2719945901907,2571300487925,2834147586184
00138260,20250328001694,1079604688000,1057913470000,965098439000
00120562,20250620000111,22660277693897,23160430746458,22175416666050
00164724,20250318000920,3573751146561,3535433379184,3014471063421
00249247,20250320001394,237801884923,225534081771,241371893905
00159616,20250320001103,26314835000000,24640834000000,23049782000000
00139764,20250318001112,142489241515,144034594170,128080156342
00140955,20250310000865,1464678817159,1350979663141,1253310602636
00105606,20250317000938,433457378286,441768263473,426633825138
00133618,20250318000783,50104587055,50999114290,51641840702
00133812,20250318000667,1480281617589,1345241646591,1280973786600
00123772,20250319000744,1651368375233,1770492019487,1481429884085
00158112,20250312000675,351203466132,357003990077,345521340104
00163196,20250715000144,340452046261,331028995726,339154971493
00108135,20250318001422,3670572248630,3737707402310,3592060734923
00109718,20250312000891,2123550790244,1262971666006,1168252667285
00100939,20250318001036,969739160656,985686727233,957791314832
00423690,20250320000853,208565174070,196570540338,211487637576
00152039,20250319000355,199881677024,198246797314,185935448420
00587466,20250313001218,2018154285684,1928646649981,1819893802654
00141413,20250318000559,216774804117,210002658451,220738936358
00115287,20250320001398,630330388517,599319321340,567964926094
01128613,20250317000315,1537604343788,1360570205531,1475831730945
00796994,20250715000164,168292925340,155538184310,145133296597
00353878,20250314000954,324736258465,320034640962,346117669232
00760971,20250318001121,7919463568015,6440456619598,6037783966136
00122579,20250320001026,696400955313,685663060325,668872026401
00815369,20250320000753,285110877176,251634548809,243275367790
00156354,20250321001687,630543293190,579056069012,550819602976
00197759,20250318001105,131612702717,103781272550,134409509636
00400857,20250321001828,159085850798,173841489988,195431756905
00194947,20250320001416,219980917783,203640941365,157781435629
00108612,20250321001800,735819053361,718904136635,565587169489
00134477,20250220001259,1034086066876,1056904317494,930994305130
00138279,20250319000503,24451433000000,21576123000000,19613135000000
00160418,20250318000552,1013538338341,874724776068,799394136303
00145552,20250320001454,957246232000,1093466714000,1188076573000
00116949,20250313001452,5006031529000,4567386501000,4591590751000
00269241,20250320000220,42542059412,45913552331,53242325293
00220613,20250331002907,691783323885,642480608085,588012317030
00176914,20250318001202,57147924043319,53342459330150,49260008742513
00120076,20250320000626,8930865616216,7995340730864,7719007333629
00160232,20250318001193,1892003803431,1656034879630,1659172643001
00401731,20250317001029,65629589000000,60240793000000,55156141000000
00508344,20250314001183,1462224549572,2423076382258,2191576214447
00111722,20250515002814,137176998056307,128206948648964,106952189880235
00147860,20250320001174,105927863551,103259018308,149581296371
00128227,20250327001293,298459252351,245334463702,232663818640
00193009,20250402002557,961032191903,1035818460628,1246019564242
00145437,20250321000735,23296368270,48534629654,73158525417
00255619,20250318001106,4700641154570,4448655838228,4167752670696
00158316,20250318000811,3521880947809,3484123285552,3378563521222
00583424,20250317000429,6783507800768,5886510888702,5801783178159
00113997,20250314001597,2282023058453,2392246607934,2430279801877
00480455,20250321000939,968810437104,899134400319,853387672706
00706715,20250319000813,494326942400,467503157829,485886407079
00106313,20250317000545,1552771308059,1692362777882,1691163707318
00828789,20250320001121,1686365340319,1733306521982,1824588314611
00125576,20250321001138,83146042729,90568081356,84258477019
00145880,20250317000668,34743788025637,35218841930044,36800955829773
00129420,20250321001470,276541274780,255548356312,195489393903
00855163,20250310000394,187152690281,164770958446,147864035732
01363818,20250312000767,2623648647194,2301822104866,2313651238698
00115612,20250812000691,1651094133285,1807512336047,1581700494344
00135917,20250331003267,19834160583099,18115263746011,17173511589408
00191588,20250314000520,290658433763,303735700802,293690103032
01060814,20250318001393,667277219833,642040554408,642561004274
00480367,20250318000275,1421941567198,1431906666880,1220003934152
00127255,20250320000750,136049880807,132156558539,135833316129
00115676,20250318001327,3341371364302,3195514054360,3051507326663
00114552,20250319000715,605181373534,605100050298,522590275567
00116301,20250313000820,473689516733,447987063260,397444642902
00117179,20250312001047,1003494179959,930244752630,861083032957
00121570,20250708000057,224208819934,231645964686,206906858449
00142865,20250320000660,100192777916,122990006604,128503266423
00130772,20250320001108,1512366601922,1346398451632,1407888696660
00133991,20250314001717,690146270816,693805240728,690192115483
00143651,20250320001474,970970804269,1027078032335,1094417787764
01042775,20250326001216,7052043027166,6286700392151,5845841407280
01350869,20250318001196,525753320000000,498004936000000,480474396000000
00163512,20250317000904,4189506445715,4201363599974,4093197691709
00180795,20250321001500,556215707649,482869726172,411164184888
00646732,20250306000676,667046949686,643080913118,597085261527
00564562,20250318001032,574103551032,535697470080,538890010550
01622720,20241016000322,1078591739263,1034432803924,982489297616
00398701,20250311001260,2799831517733,3351444610588,3023932974764
00907013,,,,
00102113,20250320000738,544969281413,538955972428,548252999063
00145598,20250801000808,499993817147,499775513693,484691741651
00409672,20250320000173,105764284096,110046703211,112327631684
00138057,20250317000934,85143471743,82497512373,76509689752
00109693,20250317000751,12535315407584,12119563559885,12004032770242
01669226,20250110000545,1586401656876,712472007685,710393030576
00159971,20250320001565,289342395414,916578395937,792860678470
00367710,20250320001366,292407975377,217309008513,198494534925
00104786,20250318000665,74867189585,84461940667,97492843199
00101433,20250317000859,489019203715,448592733973,448632689252
00109824,20250320001663,162827837044,177143797015,171792618625
00126201,20250320001319,322603910471,313423840444,308654791181
00159786,20250318000116,1364801977175,1259135784421,1489264677517
01702017,20250319000185,235451613708,219885414270,213631274794
00266961,20250318000645,38167876036020,35737826964395,33899042889136
01762569,20250320001543,299546745134,217960142410,
00122694,20250605000505,187184486500,192910732982,215054261704
00544452,20250317000839,676886464617,682625491786,690297270403
00547583,20250317000894,637847513000000,591925995000000,568603280000000
00149655,20250321001515,61990426835548,66127029212679,58981492466950
00858364,20250318001176,152470490926534,145783633894264,136932606929118
00161693,20250313001195,1067251785665,1051517418790,1099679540571
00105280,20250321001489,10084911844000,5051682271000,3188881449000
00154426,20250321000838,140860365620,151653101094,246320129412
00124780,20250311000913,337828786614,320138049682,350700454619
00139214,20250328001868,87269492540789,85019029989421,80796010435039
00166500,20250312000312,174332394129,167517651255,161427031413
00787376,20250320001296,797405774074,803198158498,834489958201
00426086,20250313001222,1168226900665,1099714172170,941352875184
00121932,20250317000651,478696089051,447566168775,415619324562
00299002,20250318001459,2370763879407,2298229319032,2279864889843
00356370,20250317000790,7405784092201,7220285811725,7302929652203
00878696,20250318001091,1036810779623,723170577189,664241139428
01267170,20250318000565,5367048627339,4158774903691,3945682879744
00181943,20250320001596,369575805909,339809517118,328166066953
00595191,20250317000896,826277280544,853376951920,933755417033
00136271,20250318001079,605269638823,587747541244,577555245278
00149239,20250313000809,421666740574,390898368641,367680590342
00104768,20250320000299,1042884426000,801805532000,752332445000
00118266,20250313000850,982414184864,963651592108,945238494728
00382199,20250318000993,739764256000000,691795333000000,664433230000000
00167208,20250317000787,443559317530,325653339437,317059936570
00545716,20250314001522,7006616781040,6718109060318,6927204106064
00767460,20250313000132,527526386235,517945909903,498996615717
00972503,20250312000525,344277767089,338352795709,342505450921
01205842,20250327000348,3324625332000,3296953373000,3448586770000
00152729,20250320000952,260831921228,251180472123,247855306698
00360595,20250317001025,16849145438725,14725019903938,13877784500296
00403632,20250312001070,913820854281,909724490443,915256451923
00161860,20250318001322,244556132689,247301097498,234918895770
00480950,20250321000678,301066402104,467831375076,566212896315
00428251,20250318001045,11217721674000,11712592639000,12069249655000
00135962,20250515002241,764717279119,748620183007,716401497952
00447609,20250326000026,1319868751137,1089361044645,1009659166536
00106119,20250321001823,1256933888453,703467371639,278599452437
00108940,20250320000999,1249662505720,1245982849279,1391346077818
01205709,20250319001012,73866670219000,67982820888000,65570861076000
00140964,20250321001884,6576715632460,6379343146101,5490219711184
01199550,20250317000724,453774373436,502056913859,652825960031
01010110,20250318001413,1646281734989,1288624909154,1235636097982
01721809,20250314000805,955626273000,880317203000,
00106669,20250318000465,3826646864046,3665171000621,3818404052059
00160843,20250312001130,2396851168578,2043378694132,2142165862418
01430475,20250211000671,1279218586238,1255981315541,1260156967376
01323032,20250318000964,524847598138,554118292957,534356690809
00173078,20250318000402,1210314499204,1044875997928,929267254095
00459871,20250318001154,1611495229296,1505059211842,1389130864097
00573579,20250317000667,232580292137,252411568748,236600606117
00861076,20250312000670,205048917905,213094328463,270247968384
00190321,20250321001834,41879957000000,42709982000000,40980681000000
00776820,20250321001998,5389722907461,5297123640656,4513623780811
00107613,20250321001007,790136366426,626436318507,546014160739
00113225,20250320000395,1149797079037,1115779074661,1220496809666
00118451,20250424000289,171801171723,179232275038,179708719037
00139454,20250314001008,499351468105,482372595474,482639615354
01475609,20241202000425,852959307008,856998452958,860319134363
00140779,20250312000962,202580696056,179035625324,180449397115
00134565,20250320000234,77931992229,79504419607,79791361051
00136624,20250313000876,404169290573,401719803161,425804458911
00248974,20250314001348,382010680680,348386182460,345964556425
00344287,20250418000372,4287197767266,4418425813336,4736667586250
00148610,20250311001013,14018124416878,13250183608173,12111249518203
00164609,20250711000373,5108867288000,4909071433000,4748245499000
01442966,20241223000285,160414844184,155430160438,170145353553
00117230,20250319000651,836567835684,849110905422,782128426554
00442835,20250320001179,133243438025,111855784929,90016753672
00161116,20250317000836,1702996461973,1724300709671,1667421795499
01026157,20250318001072,631516754233,679023237717,585713154632
00114765,20250319000773,764811017139,622237518375,553570561673
01190568,20250321001576,565143563187,287309488243,183130939633
00141273,20250328001159,31947619834,60240632361,59285485269
00153339,20250321000898,684731194390,635637932457,625038862557
00117027,20250318000832,954000570292,861149661387,816932966181
00163716,20250801000425,70208203490,90310467877,113480993232
01817081,20250317000875,731694676657,,
01765265,20250317000722,3194015021446,3531787086236,
00120182,20250313000770,62427065000000,56697893000000,53428267000000
00150828,20250331002970,543584682937,574331455413,451746878881
00164779,20250319000665,119855209000000,100330165000000,103871512000000
00171636,20250702000575,933158869000,720105338000,723295784000
00181712,20250318001364,214977754000000,206970264000000,194505860000000
00632304,20250318001204,1250608664458,1176266427927,1157579707497
00414850,20250318000878,166325113534,176284813736,176818736427
01276594,20241211000290,2158801775445,2004292844565,1825422708400
00126308,20250312001103,10013337796132,7801398613122,7848723222714
00163114,20250318001318,3424466755541,2771870652879,2323543346933
00148984,20250311001197,1697695581000,1621801859000,1620442052000
00652423,20250321001009,162730128455,145703789452,144283848412
00127167,20250318000675,728709407076,675612520563,624208062873
00123143,20250320001237,1164086929992,915511541054,892385915179
00101664,20250318001404,283886655960,266305016913,240544942124
00983040,20250318001316,4207157981000,3784921894000,3915077622000
01510489,20240919000201,512323973,564899607,386583053
01524093,20250314001639,9712402219987,9344058758180,8974717444285
01596425,20250319001044,21921051000000,17970008000000,22160583000000
00209780,20250318001395,1046845412327,1062311270068,1004623911655
00149804,20250317000599,334711356299,336026490235,1375206765319
00111689,20250321001016,102542697306,94593219371,91241229943
00797364,20250320001602,294063763220,414426220424,323473720683
00129235,20250320000947,203950424754,201158073368,222783556966
00112059,20250318001083,1230922556862,2173761439448,598057726910
00134510,20250317000672,1240617966721,1151805423714,1149427317637
01204056,20250321001187,5479186860000,5345681487000,4870434315000
00160588,20250331003821,252036985000000,209738149000000,196976926000000
00113562,20250424000557,15541477889770,14912417300957,16764540172423
00226316,20250331002554,396031860184,315985635997,316098137496
00160375,20250228006453,57413480032,51748834667,46084520659
00164788,20250311001180,66596905000000,58585845000000,55406698000000
00132868,20250320000581,116893023052,128439236485,123872501880
00119672,20250318001138,514202251500,477089681561,462171290214
00124504,20250314001718,17336325971000,16617748008000,12516336931000
00128032,20250328001724,395071163939,370680097036,356700496639
00145163,20250318000319,99264316559,92518752840,109647189040
00441243,20240920000129,143183788567,125126388096,109225633024
00164742,20250312001148,339798429000000,282463355000000,255742462000000
00225706,20250318001174,325323614449,255836393033,252942118072
